,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
OTU1,0,0,0,0,1,12,7,5,16,13,507,316,165,331,190,543,528,565,358,217,317,530,336,322,298,354,321,212,108,89,456,484,103,366,320,329,192,329,236,142,228,350,396,223,760,559,681,645,634,514
OTU2,0,1,1,16,0,4,11,41,765,1006,594,47,221,560,892,345,420,390,53,151,700,179,199,304,294,140,350,39,537,827,84,191,320,738,491,440,260,531,277,367,143,429,83,917,146,42,215,236,202,310
OTU3,0,0,0,0,1,4,0,24,110,28,121,49,70,129,116,74,172,233,260,208,185,186,135,168,75,225,119,170,122,86,153,145,140,152,143,145,138,127,111,155,142,199,63,172,165,182,218,216,114,168
OTU4,0,1,0,0,0,1,1,43,440,107,151,4,6,248,198,532,157,246,176,175,314,54,85,32,192,32,142,239,113,250,39,146,319,145,94,72,324,143,63,153,58,57,16,396,20,7,31,173,88,114
OTU5,1307,1648,2563,2780,971,163,1994,695,46,107,83,102,114,7,49,16,9,5,9,82,11,6,2,5,22,11,7,3,80,14,38,36,5,32,82,11,15,26,38,375,8,9,112,38,130,366,25,102,21,56
OTU6,1,0,0,0,0,6,6,6,0,0,0,3,38,119,99,78,28,6,0,3,4,90,128,102,56,23,77,61,28,19,109,71,35,79,73,175,63,63,99,63,96,15,39,31,11,62,43,11,45,104
OTU7,0,1,0,0,0,0,9,56,408,146,143,50,161,301,274,267,189,147,137,290,321,164,131,114,92,98,84,104,133,161,76,95,165,159,123,115,125,139,214,92,14,94,79,433,60,17,68,127,79,76
OTU8,0,0,0,0,0,0,0,0,1,2,0,18,1,34,35,93,36,166,15,6,4,224,212,19,139,207,634,301,40,64,476,181,100,66,101,30,182,70,386,9,238,236,84,55,272,284,36,18,135,26
OTU9,0,0,0,0,1,17,2,20,62,20,150,61,41,86,38,68,108,102,88,55,79,110,67,64,48,49,46,22,27,17,67,94,22,80,79,77,69,96,50,56,34,39,78,35,93,84,92,90,57,97
OTU10,0,0,2,3,1,3,3,2,87,141,82,6,0,18,98,0,75,2,11,13,18,19,41,28,20,45,175,113,283,227,39,19,150,142,157,75,92,132,88,42,68,217,29,76,24,3,57,29,51,52
OTU11,0,1,0,0,48,0,0,40,50,59,30,12,5,39,62,27,57,58,38,57,58,62,65,11,14,43,28,23,44,38,28,25,44,27,16,31,22,45,17,21,33,25,32,21,67,13,44,78,24,65
OTU12,0,0,0,0,0,34,0,2,0,0,1,14,19,24,18,28,34,11,13,12,75,52,56,27,16,13,43,18,16,36,47,84,30,59,89,119,17,18,43,97,15,8,21,5,32,29,35,26,61,41
OTU13,0,0,0,0,0,21,1,0,0,0,0,5,9,15,4,18,27,12,11,5,41,42,27,16,15,10,20,9,13,11,37,60,8,40,56,78,12,13,35,42,16,3,16,7,12,21,31,23,29,34
OTU14,724,916,291,105,40,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU15,0,0,0,0,1,112,3,7,1,4,56,17,25,42,55,41,78,47,30,24,17,49,29,36,37,72,57,43,37,18,81,60,55,46,67,69,19,75,18,17,32,35,33,17,71,75,19,41,13,50
OTU16,0,0,0,0,14,55,4,1,10,2,46,24,13,31,38,50,51,41,42,43,46,57,76,25,27,51,59,32,26,15,39,58,15,30,41,68,26,53,58,51,25,10,37,23,65,75,53,73,52,74
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,86,5,27,86,8
OTU18,0,0,0,0,0,0,76,29,111,170,45,7,12,1,4,14,130,35,7,6,67,8,5,2,3,1,4,0,0,3,1,0,0,0,0,1,0,23,0,3,0,0,0,4,9,0,5,9,1,4
OTU19,0,0,0,0,3,15,3,24,33,36,99,11,16,12,17,15,20,38,54,16,17,27,38,15,9,22,2,5,4,1,5,4,1,6,1,5,5,32,8,5,7,25,29,19,11,15,17,63,12,31
OTU20,0,0,0,0,0,16,0,0,0,1,0,1,0,2,1,7,5,8,2,2,4,15,46,27,61,69,71,69,52,34,108,96,88,42,81,104,145,95,38,88,31,67,16,14,94,24,36,56,59,98
